model,type,n,n_total,n_missing,missing_rate,mean_score,median_score,frac_pred_pos,recall,accuracy,fnr,precision,ppv,f1,specificity,npv,brier_score,log_loss,roc_auc,pr_auc,mcc,threshold_used,base_model
injection_immune,label,526,600,74,0.12333333333333334,0.655893536121673,1.0,0.655893536121673,0.5238095238095238,0.3669201520912547,0.47619047619047616,0.3826086956521739,0.3826086956521739,0.44221105527638194,0.22262773722627738,0.3370165745856354,0.6330798479087453,,0.3732186305179006,0.42855096080422583,-0.26663192684832054,,gpt5nano
stealth_injection_immune,label,487,600,113,0.18833333333333332,0.5297741273100616,1.0,0.5297741273100616,0.6521739130434783,0.6283367556468172,0.34782608695652173,0.6395348837209303,0.6395348837209303,0.6457925636007827,0.6025641025641025,0.6157205240174672,0.37166324435318276,,0.6273690078037905,0.5977861195948037,0.2549965804484117,,gpt5nano
GT,label,600,600,0,0.0,0.6066666666666667,1.0,0.6066666666666667,0.8,0.6933333333333334,0.2,0.6593406593406593,0.6593406593406593,0.7228915662650602,0.5866666666666667,0.7457627118644068,0.30666666666666664,,0.6933333333333334,0.6274725274725275,0.3957776777425582,,gpt5
injected,label,600,600,0,0.0,0.735,1.0,0.735,0.47,0.235,0.53,0.3197278911564626,0.3197278911564626,0.3805668016194332,0.0,0.0,0.765,,0.235,0.41527210884353744,-0.6004533434723092,,gpt5
stealth_injected,label,600,600,0,0.0,0.8,1.0,0.8,0.6766666666666666,0.37666666666666665,0.3233333333333333,0.42291666666666666,0.42291666666666666,0.5205128205128206,0.07666666666666666,0.19166666666666668,0.6233333333333333,,0.37666666666666665,0.4478402777777778,-0.30833333333333335,,gpt5
injection_immune,label,600,600,0,0.0,0.8483333333333334,1.0,0.8483333333333334,0.8033333333333333,0.455,0.19666666666666666,0.47347740667976423,0.47347740667976423,0.595797280593325,0.10666666666666667,0.3516483516483517,0.545,,0.455,0.4786935166994106,-0.12545390289054212,,gpt5
stealth_injection_immune,label,600,600,0,0.0,0.6783333333333333,1.0,0.6783333333333333,0.8,0.6216666666666667,0.2,0.5896805896805897,0.5896805896805897,0.6789250353606789,0.44333333333333336,0.689119170984456,0.37833333333333335,,0.6216666666666667,0.5717444717444717,0.2604635772908778,,gpt5
GT,label,600,600,0,0.0,0.5,0.5,0.5,0.7233333333333334,0.7233333333333334,0.27666666666666667,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.27666666666666667,,0.7233333333333335,0.6615444444444445,0.44666666666666666,,phi
injected,label,600,600,0,0.0,0.505,1.0,0.505,0.01,0.005,0.99,0.009900990099009901,0.009900990099009901,0.009950248756218905,0.0,0.0,0.995,,0.005,0.4950990099009901,-0.9900495037128094,,phi
stealth_injected,label,600,600,0,0.0,0.7516666666666667,1.0,0.7516666666666667,0.6666666666666666,0.415,0.3333333333333333,0.4434589800443459,0.4434589800443459,0.5326231691078562,0.16333333333333333,0.3288590604026846,0.585,,0.4149999999999999,0.46230598669623063,-0.1967382350332665,,phi
